City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
299,guerrero negro,27.9769,-114.0611,22.62,73,17,0.68,MX,1723032585
300,as sulayyil,20.4607,45.5779,42.14,15,98,4.55,SA,1723032586
301,kidal,18.4411,1.4078,38.97,20,69,4.91,ML,1723032357
302,el bagre,7.5927,-74.8086,22.99,99,100,0.24,CO,1723032589
303,ta`u,-14.2336,-169.5144,25.12,81,85,9.05,AS,1723032590
304,bathsheba,13.2167,-59.5167,29.34,74,40,7.2,BB,1723032591
305,neiafu,-18.65,-173.9833,21.38,64,20,0.0,TO,1723032592
306,arfoud,31.4348,-4.2375,40.7,7,24,2.23,MA,1723032593
307,jutai,-5.1833,-68.9,25.34,75,70,0.69,BR,1723032594
308,gunjur,13.2019,-16.7339,28.05,79,94,6.31,GM,1723032595
309,adre,13.4667,22.2,28.3,56,100,7.94,TD,1723032596
310,malango,-2.9627,119.9001,19.28,100,76,1.12,ID,1723032597
311,port blair,11.6667,92.75,28.02,89,75,1.03,IN,1723032448
312,kasongo-lunda,-6.4667,16.8167,38.05,13,83,2.32,CD,1723032600
313,nagqu,31.5,92.0,13.04,59,88,5.14,CN,1723032601
314,puerto baquerizo moreno,-0.9,-89.6,19.65,80,82,5.92,EC,1723032602
315,labytnangi,66.6572,66.4183,18.37,42,10,1.54,RU,1723032603
316,cheongsong gun,36.4335,129.057,23.06,93,19,1.0,KR,1723032604
317,koungheul,13.9833,-14.8,30.4,67,100,4.17,SN,1723032606
318,caleta de carquin,-11.0925,-77.6267,16.0,86,75,3.5,PE,1723032607
319,zunyi,27.6867,106.9072,24.61,87,68,3.3,CN,1723032608
320,sheridan,44.8333,-106.9173,16.28,85,0,1.54,US,1723032609
321,"laikit, laikit ii (dimembe)",1.4792,124.9735,24.47,89,40,0.51,ID,1723032613
322,kemijarvi,66.7131,27.4306,21.79,31,24,2.32,FI,1723032615
323,farmville,37.3021,-78.3919,24.51,100,100,0.0,US,1723032617
324,yeppoon,-23.1333,150.7333,17.88,88,96,4.21,AU,1723032469
325,chonchi,-42.6128,-73.8092,1.18,97,18,0.43,CL,1723032620
326,colonia,50.9333,6.95,22.13,77,75,6.69,DE,1723032622
327,hobyo,5.3505,48.5268,27.23,71,21,11.74,SO,1723032623
328,marsh harbour,26.5412,-77.0636,28.01,77,88,6.8,BS,1723032624
329,narvik,68.4384,17.4272,26.88,44,1,2.92,NO,1723032625
330,san juan,-31.5375,-68.5364,7.11,61,100,3.49,AR,1723032380
331,acarau,-2.8856,-40.12,28.76,51,85,7.34,BR,1723032628
332,battagram,34.6772,73.0233,28.35,72,50,1.89,PK,1723032629
333,maragogi,-9.0122,-35.2225,24.24,72,83,4.61,BR,1723032630
334,portstewart,55.1813,-6.714,16.83,67,86,7.87,GB,1723032631
335,puerto lempira,15.2667,-83.7667,26.86,87,100,3.2,HN,1723032632
336,jumla,29.2747,82.1838,16.42,92,100,0.4,NP,1723032633
337,lata,40.1629,-8.3327,29.16,53,19,2.8,PT,1723032635
338,illizi,26.4833,8.4667,38.33,15,0,1.9,DZ,1723032636
339,tsiombe,-25.3,45.4833,22.47,64,80,6.26,MG,1723032637
340,inhambane,-23.865,35.3833,23.66,58,24,4.51,MZ,1723032638
341,mapimi,25.8167,-103.85,23.47,51,100,1.59,MX,1723032639
342,saint-pierre,-21.3393,55.4781,24.82,57,0,4.63,RE,1723032640
343,mugia,43.1041,-9.2179,24.53,72,49,9.19,ES,1723032641
344,daru,-9.0763,143.2092,24.32,88,92,6.09,PG,1723032642
345,petra,30.3222,35.4793,28.55,12,1,4.33,JO,1723032644
346,kayangel,8.0823,134.7173,29.28,76,98,5.46,PW,1723032647
347,valparaiso,-33.0393,-71.6273,7.86,93,20,2.57,CL,1723032648
348,huilong,31.8111,121.655,28.45,87,43,5.55,CN,1723032650
349,mahanoro,-19.9,48.8,24.67,63,37,3.41,MG,1723032651
350,arkhangel'sk,64.5401,40.5433,22.06,40,0,4.0,RU,1723032652
351,hami,42.8,93.45,33.91,18,100,8.01,CN,1723032654
352,chinnachowk,14.4752,78.8354,29.01,70,75,5.14,IN,1723032655
353,lamia,38.9,22.4333,33.82,38,12,4.02,GR,1723032549
354,nova sintra,14.8667,-24.7167,26.36,80,31,6.65,CV,1723032659
355,baiyin,36.5583,104.2081,27.57,31,97,3.35,CN,1723032660
356,east london,-33.0153,27.9116,22.05,35,35,3.96,ZA,1723032661
357,bereket,39.2446,55.5154,41.83,15,13,2.18,TM,1723032615
358,yarmouth,41.7057,-70.2286,17.21,94,100,6.26,US,1723032663
